epoch,train_loss,train_rmse,val_rmse,learning_rate
1,0.5718051180243492,41547.41869347549,48471.48641175669,0.001
2,0.25182094648480413,32608.25066530854,42197.29783855467,0.001
3,0.1673861898481846,25688.650737803466,40829.52443922518,0.001
4,0.10661393478512764,21667.095941293082,41130.2342685143,0.001
5,0.06958325542509555,17468.45063308287,41250.41840389992,0.001
6,0.050590388104319574,15104.745968703975,41369.895929066246,0.001
7,0.037065467052161696,13462.945013410199,41808.02135088498,0.001
8,0.030283159017562865,12006.527274691363,42161.468105278305,0.001
9,0.025683142244815826,11498.194943241011,42457.10554452477,0.001
10,0.022510285675525665,10206.242100369998,42302.21831019523,0.001
11,0.017766673862934113,9173.807198049934,42378.92356786676,0.001
12,0.014525500033050776,8370.34177144073,42514.43750869951,0.001
13,0.011734768282622099,7656.784412156074,42529.39782603136,0.001
14,0.009912812290713191,7087.017969838622,42626.52534880571,0.001
15,0.008876285282894969,6676.020928499203,42574.02411645802,0.0005
16,0.007562700472772121,6437.744502448993,42618.70841382757,0.0005
17,0.007243270752951503,6073.6611245512295,42682.44372134544,0.0005
18,0.006373713468201458,5838.670037166477,42655.449578927444,0.0005
19,0.0060860884841531515,5600.955503444356,42690.798952805846,0.0005
20,0.0054245572304353114,5357.700163099881,42774.453691875206,0.0005
21,0.004992972058244049,5130.814229617822,42784.5954409369,0.0005
22,0.004500805702991784,4929.816126656138,42821.45581533768,0.0005
23,0.0046666594687849285,4734.330830714822,42850.88187750523,0.0005
24,0.0038829430704936385,4656.649714299556,42890.67332190442,0.0005
25,0.0036916879704222082,4335.569926178482,42870.875547937896,0.0005
26,0.003239064011722803,4225.454483913721,42854.10130490163,0.00025
27,0.0030854418291710317,4128.827688902931,42883.08459890789,0.00025
28,0.002993181673809886,4035.517990653691,42913.32829947811,0.00025
29,0.003031251241918653,3947.116749969535,42907.558500007726,0.00025
30,0.0026796448277309538,3857.513299117909,42924.084352124155,0.00025
31,0.0026231128897052257,3779.8377644199077,42912.70653450975,0.00025
32,0.0024505035835318267,3710.9765274585043,42949.759934844464,0.00025
33,0.0024709690711461007,3605.170380261907,42940.5534011004,0.00025
